run,time,nnz,rmse
41,230.0035424,4122494,1.770764302
41,240.0014369,4168781,1.771052786
41,250.0029643,4218284,1.77180506
41,260.0009856,4268772,1.771809907
41,270.0042531,4297959,1.772601215
41,280.003593,4320780,1.773562648
41,290.0001473,4347231,1.774016123
41,300.0026014,4385944,1.774637774
41,310.0025492,4417649,1.775617229
41,320.0006394,4437514,1.776216371
41,330.0013084,4467676,1.776682099
41,340.0009975,4502327,1.777299526
41,350.0026484,4518056,1.778027239
41,360.00196,4542682,1.778944847
41,370.0015571,4573230,1.779528447
41,380.0001359,4600202,1.780142276
41,390.0008061,4623161,1.781175594
41,400.0028963,4650137,1.7819838
41,410.0031686,4666936,1.782721603
41,420.0029695,4692554,1.783390055
41,430.0035288,4720526,1.783792926
41,440.0030596,4740547,1.784195778
41,450.0041525,4762142,1.784654457
41,460.0032268,4781991,1.785360646
41,470.0012822,4803144,1.785887534
41,480.0016203,4811864,1.786477536
41,490.0032048,4836013,1.786319776
41,500.0009866,4837204,1.786434695
41,510.0019901,4842904,1.787347269
41,520.0028574,4848331,1.788080212
41,530.002409,4853729,1.788848952
41,540.0019488,4870962,1.789456369
41,550.0030985,4876245,1.789774955
41,560.0015447,4884911,1.790842015
41,570.0009596,4892908,1.791586644
41,580.0000193,4897353,1.792080754
41,590.0009925,4901057,1.792634925
41,600.0003867,4906480,1.792977394
41,610.001615,4911179,1.79368681
41,620.0020123,4920057,1.794705946
41,630.0002186,4926918,1.795479343
41,640.0028152,4939019,1.796253222
41,650.0039241,4947695,1.797003195
41,660.0003686,4954140,1.797878773
41,670.0000646,4959389,1.798494004
41,680.0015604,4967307,1.799213188
41,690.0008759,4972668,1.799827331
41,700.0018435,4977041,1.800368707
41,710.0019202,4980295,1.800797182
41,720.0010357,4986172,1.801332889
41,730.0010319,4989722,1.801812212
41,740.000983,4994424,1.802398276
41,750.0020206,4997143,1.802796804
41,760.0002692,4998854,1.80300472
41,770.0027235,5000833,1.803284784
41,780.0018597,5001838,1.803440499
41,790.0017672,5749982,1.749174254
41,800.0004144,7462072,1.62843297
41,810.0026751,7993188,1.606663943
41,820.0016797,8085230,1.603298052
41,830.0007217,8085230,1.603298052
41,840.0021582,8085230,1.603298052
